Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97.5% cache / 2.15% input / 0.35% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                   Monthly fee     Served model                Monthly tokens (B)  USD/MTok  Confidence
200  Command Code GOAT                      USD 10          Inkling Small               0.1779              0.05621   medium
201  SuperGrok                              USD 30          Grok 4.6                    0.509               0.05894   high
202  SuperGrok Heavy                        USD 300         Grok 4.6                    5.09                0.05894   medium
203  SuperGrok Heavy                        USD 300         Grok 4.5                    5.09                0.05894   medium
204  SuperGrok                              USD 30          Grok 4.5                    0.509               0.05894   medium
205  Kimi Moderato †                        $19 · CN ¥99    Kimi K2.7 Code              0.314               0.06051   medium
206  GLM Coding Pro (v3 ¥538) Peak          CNY 538         GLM 5.3                     1.27                0.06249   high
207  Cursor Ultra (Fast)                    USD 200         Grok 4.6                    3.074               0.06506   high
208  Kimi Moderato †                        $19 · CN ¥99    Kimi K3                     0.29                0.06552   medium
209  SuperGrok Lite                         USD 10          Grok 4.6                    0.15                0.06667   low
210  Command Code GOAT                      USD 10          Nemotron 3 Ultra            0.1446              0.06916   medium
211  Ollama Max                             USD 100         Kimi K2.7 Code              1.3657              0.07322   medium
212  Ollama Pro                             USD 20          Kimi K2.7 Code              0.2731              0.07323   medium
213  Ollama Pro                             USD 20          GLM 5.1                     0.2635              0.0759    medium
214  Ollama Max                             USD 100         GLM 5.1                     1.3175              0.0759    medium
215  GLM Coding Lite (v3 ¥118) Peak         CNY 118         GLM 5.3                     0.212               0.08211   high
216  DeepSeek V4 Pro API Peak               Pay-as-you-go   DeepSeek V4 Pro             -                   0.08514   high
217  Kimi Andante (CN) (v1) †               CNY 49          Kimi K2.7 Code              0.078               0.09267   medium
218  Command Code GOAT                      USD 10          Muse Spark 1.3              0.1064              0.09398   medium
219  Command Code GOAT                      USD 10          Muse Spark 1.2              0.1064              0.09398   medium
220  Ollama Pro                             USD 20          GLM 5.3                     0.2007              0.09965   medium
221  Ollama Pro                             USD 20          GLM 5.2                     0.2007              0.09965   medium
222  Ollama Max                             USD 100         GLM 5.3                     1.0033              0.09967   medium
223  Ollama Max                             USD 100         GLM 5.2                     1.0033              0.09967   medium
224  Command Code GOAT                      USD 10          GPT 5.6 Sol                 0.1                 0.1       medium
225  Command Code GOAT                      USD 10          Inkling                     0.0993              0.1007    medium
226  Claude Max 5x (9/14+)                  USD 100         Claude Fable 5              0.9235              0.10828   low
227  ChatGPT Pro 5x                         USD 100         GPT-6 Astra                 0.91                0.10989   low
228  Claude Max 20x (9/14+)                 USD 200         Claude Fable 5.1            1.728               0.11574   medium
229  Claude Max 5x (9/14+)                  USD 100         Claude Fable 5.1            0.8639              0.11575   low
230  ChatGPT Plus                           USD 20          GPT-6 Astra                 0.159               0.12579   high
